session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,Ethnicity (Simplified),First Language,Nationality,Sex,Student Status
5f11de129926a10bd2024335,5ede5ba5b1248f0a4ae6fc60,AWAITING REVIEW,2020-07-17 17:21:23.841000,2020-07-17 17:29:50.892000,507.051,18,9,0,100,,3A147E63,United Kingdom,United Kingdom,Unemployed (and job seeking),White,English,United Kingdom,Male,Yes
5f11de485bc04a0bd72ee8a6,5c845031d6a29e00162edf7d,AWAITING REVIEW,2020-07-17 17:22:16.895000,2020-07-17 17:25:24.695000,187.8,40,133,0,100,,3A147E63,United Kingdom,United Kingdom,Full-Time,White,English,United Kingdom,Male,No
5f11de71eafc540b7329ffa3,593675594e31b50001ce1a08,AWAITING REVIEW,2020-07-17 17:23:01.800000,2020-07-17 17:27:54.485000,292.685,61,333,1,100,,3A147E63,United Kingdom,United Kingdom,Full-Time,White,English,United Kingdom,Male,No
5f11de8fc1b7a70c9675a982,5c3e9e6c9f6c4c0001e4a453,AWAITING REVIEW,2020-07-17 17:23:27.222000,2020-07-17 17:27:05.042000,217.82,25,8,0,100,,3A147E63,United Kingdom,United Kingdom,Full-Time,White,English,United Kingdom,Male,No
5f11df5bf24f910b806bb7c3,5ea98b091e683e0a2782d0a9,AWAITING REVIEW,2020-07-17 17:26:51.021000,2020-07-17 17:30:57.222000,246.201,20,7,0,100,,3A147E63,United Kingdom,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",White,English,United Kingdom,Male,No
5f11df91bf131c0cdef3487b,5e0b302ce863563716726f6f,AWAITING REVIEW,2020-07-17 17:27:45.860000,2020-07-17 17:34:20.003000,394.143,29,21,0,100,,3A147E63,United Kingdom,United Kingdom,Full-Time,White,English,United Kingdom,Male,No
5f11dfbf25a5a80bbbf733e9,59c177605c50560001df944c,AWAITING REVIEW,2020-07-17 17:28:31.958000,2020-07-17 17:33:29.107000,297.149,35,288,2,100,,3A147E63,United Kingdom,United Kingdom,Full-Time,White,English,United Kingdom,Male,No
5f11dfe33ecfc50bdd72409b,5b1edd1168a5ed000173be25,AWAITING REVIEW,2020-07-17 17:29:08.773000,2020-07-17 17:32:29.808000,201.035,28,67,1,100,,3A147E63,United Kingdom,United Kingdom,Full-Time,White,English,United Kingdom,Male,No
5f11e05186fcde0c2d7efb96,5ea60109717edc5e9e856495,AWAITING REVIEW,2020-07-17 17:30:57.168000,2020-07-17 17:35:32.549000,275.381,50,21,0,100,,3A147E63,United Kingdom,United Kingdom,Full-Time,White,English,United Kingdom,Male,No
5f11e09d72f7c70bdb822cba,5ce45c591bf7c90001505825,AWAITING REVIEW,2020-07-17 17:32:13.119000,2020-07-17 17:37:45.124000,332.005,35,193,1,100,,3A147E63,United Kingdom,United Kingdom,Other,White,English,United Kingdom,Male,No
